Execution Time,Side,Contract,Status,Qty,Execution Price,Notional,Exchange Fees,Trade ID,Order ID,Account,Firm,User
11-09-20 - 5:13:36 PM,Sell,SWP-XBT-USD-X20,Open,30,15000.00,450000.00,450,"""20201109230001099""","""20201109230001097""",ACCT2220,F220,U5220
11-09-20 - 5:13:36 PM,Buy,SWP-XBT-USD-X20,Open,30,15000.00,450000.00,450,"""20201109230001099""","""20201109230001075""",ACCT1110,F110,U5110
11-09-20 - 5:13:36 PM,Sell,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230001080""","""20201109230001078""",ACCT2220,F220,U5220
11-09-20 - 5:13:36 PM,Buy,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230001080""","""20201109230001075""",ACCT1110,F110,U5110
11-09-20 - 5:13:30 PM,Buy,SWP-XBT-USD-X20,Open,20,15000.00,300000.00,300,"""20201109230001061""","""20201109230001040""",ACCT1110,F110,U5110
11-09-20 - 5:13:30 PM,Sell,SWP-XBT-USD-X20,Open,20,15000.00,300000.00,300,"""20201109230001061""","""20201109230001059""",ACCT2220,F220,U5220
11-09-20 - 5:13:30 PM,Sell,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230001045""","""20201109230001043""",ACCT2220,F220,U5220
11-09-20 - 5:13:30 PM,Buy,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230001045""","""20201109230001040""",ACCT1110,F110,U5110
11-09-20 - 5:13:28 PM,Sell,SWP-XBT-USD-X20,Open,20,15000.00,300000.00,300,"""20201109230001025""","""20201109230001023""",ACCT2220,F220,U5220
11-09-20 - 5:13:28 PM,Buy,SWP-XBT-USD-X20,Open,20,15000.00,300000.00,300,"""20201109230001025""","""20201109230001004""",ACCT1110,F110,U5110
11-09-20 - 5:13:28 PM,Sell,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230001009""","""20201109230001007""",ACCT2220,F220,U5220
11-09-20 - 5:13:28 PM,Buy,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230001009""","""20201109230001004""",ACCT1110,F110,U5110
11-09-20 - 5:13:13 PM,Sell,SWP-XBT-USD-X20,Open,100,15000.00,1500000.00,1500,"""20201109230000898""","""20201109230000896""",ACCT2220,F220,U5220
11-09-20 - 5:13:13 PM,Buy,SWP-XBT-USD-X20,Open,100,15000.00,1500000.00,1500,"""20201109230000898""","""20201109230000893""",ACCT1110,F110,U5110
11-09-20 - 5:13:12 PM,Sell,SWP-XBT-USD-X20,Open,100,15000.00,1500000.00,1500,"""20201109230000878""","""20201109230000876""",ACCT2220,F220,U5220
11-09-20 - 5:13:12 PM,Buy,SWP-XBT-USD-X20,Open,100,15000.00,1500000.00,1500,"""20201109230000878""","""20201109230000873""",ACCT1110,F110,U5110
11-09-20 - 5:13:11 PM,Sell,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230000855""","""20201109230000853""",ACCT2220,F220,U5220
11-09-20 - 5:13:11 PM,Buy,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230000855""","""20201109230000849""",ACCT1110,F110,U5110
11-09-20 - 5:13:09 PM,Sell,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230000831""","""20201109230000829""",ACCT2220,F220,U5220
11-09-20 - 5:13:09 PM,Buy,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230000831""","""20201109230000826""",ACCT1110,F110,U5110
11-09-20 - 5:13:08 PM,Sell,SWP-XBT-USD-X20,Open,40,15000.00,600000.00,600,"""20201109230000812""","""20201109230000810""",ACCT2220,F220,U5220
11-09-20 - 5:13:08 PM,Buy,SWP-XBT-USD-X20,Open,40,15000.00,600000.00,600,"""20201109230000812""","""20201109230000785""",ACCT1110,F110,U5110
11-09-20 - 5:13:07 PM,Sell,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230000790""","""20201109230000788""",ACCT2220,F220,U5220
11-09-20 - 5:13:07 PM,Buy,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230000790""","""20201109230000785""",ACCT1110,F110,U5110
11-09-20 - 5:13:07 PM,Sell,SWP-XBT-USD-X20,Open,30,15000.00,450000.00,450,"""20201109230000771""","""20201109230000769""",ACCT2220,F220,U5220
11-09-20 - 5:13:07 PM,Buy,SWP-XBT-USD-X20,Open,30,15000.00,450000.00,450,"""20201109230000771""","""20201109230000747""",ACCT1110,F110,U5110
11-09-20 - 5:13:06 PM,Sell,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230000752""","""20201109230000750""",ACCT2220,F220,U5220
11-09-20 - 5:13:06 PM,Buy,SWP-XBT-USD-X20,Open,80,15000.00,1200000.00,1200,"""20201109230000752""","""20201109230000747""",ACCT1110,F110,U5110
11-09-20 - 5:13:05 PM,Sell,SWP-XBT-USD-X20,Open,100,15000.00,1500000.00,1500,"""20201109230000730""","""20201109230000728""",ACCT2220,F220,U5220
11-09-20 - 5:13:05 PM,Buy,SWP-XBT-USD-X20,Open,100,15000.00,1500000.00,1500,"""20201109230000730""","""20201109230000722""",ACCT1110,F110,U5110
11-09-20 - 5:13:03 PM,Sell,SWP-XBT-USD-X20,Open,100,15000.00,1500000.00,1500,"""20201109230000705""","""20201109230000703""",ACCT2220,F220,U5220
11-09-20 - 5:13:03 PM,Buy,SWP-XBT-USD-X20,Open,100,15000.00,1500000.00,1500,"""20201109230000705""","""20201109230000697""",ACCT1110,F110,U5110
11-09-20 - 5:13:02 PM,Sell,SWP-XBT-USD-X20,Open,100,15000.00,1500000.00,1500,"""20201109230000683""","""20201109230000678""",ACCT2220,F220,U5220
11-09-20 - 5:13:02 PM,Buy,SWP-XBT-USD-X20,Open,100,15000.00,1500000.00,1500,"""20201109230000683""","""20201109230000675""",ACCT1110,F110,U5110
