Firm,Account,Contract,Symbol,Prior Day Net Position,Current Net Position,Prior Day DSP,Current Price USD,Today's DSP,Live P&L USD,Variation Margin
 -> F110,-,-,-,-,-,-,-,-,-,-
 -> F110 -> ACCT1110,ACCT1110,-,-,-,-,-,-,-,-,-
-,-,09X20,XBT/USD,-,-,-,-,-,-,-
-,-,10X20,XBT/USD,-,-,-,-,-,-,-
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,-,XBT/USD,-,1800,15074.86,14897.4,-,-184680,3492
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> MMF02,-,-,-,-,-,-,-,-,-,-
 -> MMF02 -> MMA02,MMA02,-,-,-,-,-,-,-,-,-
-,-,09X20,XBT/USD,-,-,-,-,-,-,-
-,-,-,XBT/USD,-,-30,13000,12822.54,-,8323.8,-58.2
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,-,XBT/USD,-,-10,15074.86,14897.4,-,-17974,-19.4
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> F220,-,-,-,-,-,-,-,-,-,-
 -> F220 -> ACCT2220,ACCT2220,-,-,-,-,-,-,-,-,-
-,-,09X20,XBT/USD,-,-,-,-,-,-,-
-,-,10X20,XBT/USD,-,-,-,-,-,-,-
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,-,XBT/USD,-,-1800,15074.86,14897.4,-,184680,-3492
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> JAMES,-,-,-,-,-,-,-,-,-,-
 -> JAMES -> TSTXBT04,TSTXBT04,-,-,-,-,-,-,-,-,-
-,-,09X20,XBT/USD,-,-,-,-,-,-,-
-,-,-,XBT/USD,-,20,13000,12822.54,-,-3549.2,38.8
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,-,XBT/USD,-,10,15074.86,14897.4,-,5974,19.4
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> XBTO01,-,-,-,-,-,-,-,-,-,-
 -> XBTO01 -> XBTOACC1,XBTOACC1,-,-,-,-,-,-,-,-,-
-,-,09X20,XBT/USD,-,-,-,-,-,-,-
-,-,10X20,XBT/USD,-,-,-,-,-,-,-
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,X20,XBT/USD,15,15,15074.86,14897.4,-,-2661.9,29.1
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> GLOBUSA,-,-,-,-,-,-,-,-,-,-
 -> GLOBUSA -> GLOBACC1,GLOBACC1,-,-,-,-,-,-,-,-,-
-,-,09X20,XBT/USD,-,-,-,-,-,-,-
-,-,-,XBT/USD,-,30,13000,12822.54,-,-8323.8,58.2
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-15,-5,15074.86,14897.4,-,20635.9,-9.7
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> TSTFRM1,-,-,-,-,-,-,-,-,-,-
 -> TSTFRM1 -> TSTACC1,TSTACC1,-,-,-,-,-,-,-,-,-
-,-,09X20,XBT/USD,-,-,-,-,-,-,-
-,-,-,XBT/USD,-,-20,13000,12822.54,-,3549.2,-38.8
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,-,XBT/USD,-,-10,15074.86,14897.4,-,-5974,-19.4
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
